budget,genre,name,score,year
30000000,animation,rugrats in paris: the movie,6.1,2000
70000000,action,six days seven nights,5.8,1998
60000000,adventure,far and away,6.5,1992
unknown,comedy,greenfingers,6.9,2000
unknown,adventure,american honey,7.0,2016
unknown,action,crime story,6.8,1993
unknown,action,dangerously close,6.6,1986
50000000,crime,murder by numbers,6.1,2002
1000000,drama,loving annabelle,6.6,2006
unknown,drama,all about my mother,7.9,1999
unknown,drama,love & human remains,6.7,1993
13800000,animation,all dogs go to heaven,6.7,1989
12000000,crime,rampart,5.8,2011
107000000,biography,ali,6.8,2001
1500000,drama,the ballad of jack and rose,6.7,2005
30000000,drama,legends of the fall,7.5,1994
unknown,drama,the doctor,6.9,1991
24000000,drama,rocky balboa,7.2,2006
unknown,biography,downfall,8.3,2004
unknown,comedy,baby boom,6.1,1987
3000000,comedy,don jon,6.6,2013
unknown,crime,rebels of the neon god,7.6,1992
170000000,action,wild wild west,4.8,1999
60000000,action,the core,5.5,2003
40000000,horror,the wicker man,3.7,2006
unknown,drama,in the mood for love,8.1,2000
19000000,horror,poltergeist ii: the other side,5.7,1986
100000000,drama,what lies beneath,6.6,2000
60000000,comedy,the heartbreak kid,5.8,2007
45000000,action,anaconda,4.7,1997
unknown,animation,arthur and the revenge of maltazard,5.3,2009
1000000,comedy,kissing jessica stein,6.6,2001
unknown,comedy,paper man,6.6,2009
19000000,horror,vacancy,6.2,2007
57000000,adventure,the mexican,6.1,2001
13000000,sci-fi,the butterfly effect,7.7,2004
9000000,crime,kalifornia,6.7,1993
15000000,horror,halloween ii,4.9,2009
25000000,horror,my soul to take,4.8,2010
32000000,drama,the master,7.1,2012
12000000,comedy,roxanne,6.6,1987
32000000,comedy,scrooged,7.0,1988
27000000,animation,the pagemaster,6.0,1994
30000000,adventure,mr. magoo,3.9,1997
75000000,animation,sing,7.1,2016
35000000,comedy,just visiting,5.8,2001
unknown,animation,akira,8.1,1988
15000000,drama,american beauty,8.4,1999
25000000,drama,nuts,6.7,1987
135000000,animation,home,6.7,2015
13300000,drama,under the skin,6.3,2013
unknown,comedy,just friends,6.2,2005
unknown,comedy,blank check,5.2,1994
17000000,comedy,let's be cops,6.5,2014
unknown,horror,candyman: farewell to the flesh,5.2,1995
unknown,comedy,two night stand,6.4,2014
5000000,family,las travesuras de una pelirojja,5.9,1988
38000000,action,the fast and the furious,6.7,2001
unknown,drama,europa report,6.5,2013
14000000,drama,dangerous liaisons,7.7,1988
6000000,comedy,the brothers,6.4,2001
49900000,adventure,your highness,5.6,2011
unknown,drama,the power of one,7.2,1992
5000000,comedy,twelfth night or what you will,7.3,1996
unknown,drama,head in the clouds,6.6,2004
20000000,comedy,disaster movie,1.9,2008
unknown,comedy,the gospel according to vic,6.1,1986
90000000,action,mighty joe young,5.6,1998
unknown,drama,the dreamers,7.2,2003
16000000,comedy,vamps,5.1,2012
20000000,comedy,madea's witness protection,4.9,2012
8000000,action,wild target,6.9,2010
42000000,comedy,notting hill,7.1,1999
unknown,sci-fi,the curse,4.9,1987
unknown,drama,jacknife,6.4,1989
26000000,comedy,delivery man,6.4,2013
60000000,drama,dragonfly,6.1,2002
20000000,action,street kings,6.8,2008
65000000,comedy,my favorite martian,5.0,1999
2500000,drama,bodies rest & motion,5.6,1993
36000000,action,ip man 3,7.1,2015
81000000,action,kingsman: the secret service,7.7,2014
18000000,fantasy,the city of lost children,7.7,1995
250000000,action,john carter,6.6,2012
unknown,action,3 ninjas: high noon at mega mountain,2.8,1998
95000000,comedy,the campaign,6.1,2012
9600000,biography,conspiración y poder,6.8,2015
20000000,comedy,how high,6.3,2001
unknown,comedy,the abcs of death,4.7,2012
unknown,drama,intimidad,6.2,2001
165000000,animation,shrek forever after,6.3,2010
6800000,comedy,the chumscrubber,7.0,2005
5000000,crime,new jersey drive,6.7,1995
28000000,biography,the infiltrator,7.0,2016
unknown,action,the edge,6.9,1997
150000000,animation,beowulf,6.2,2007
75000000,animation,titan a.e.,6.6,2000
unknown,comedy,the dinner game,7.7,1998
50000000,adventure,muppets most wanted,6.4,2014
unknown,drama,the field,7.4,1990
10000000,comedy,bamboozled,6.5,2000
unknown,action,sidekicks,4.9,1992
27000000,comedy,kingpin,6.9,1996
18000000,comedy,gung ho,6.2,1986
65000000,comedy,due date,6.6,2010
2000000,comedy,leprechaun 2,4.4,1994
35000000,drama,empire of the sun,7.8,1987
39000000,drama,the time traveler's wife,7.1,2009
54000000,action,dracula 2000,4.9,2000
55000000,drama,un ángel enamorado,6.7,1998
unknown,drama,the wind will carry us,7.6,1999
unknown,comedy,personal services,6.4,1987
10000000,horror,hostel: part ii,5.5,2007
unknown,drama,an american rhapsody,6.9,2001
53000000,comedy,gone fishin',4.7,1997
90000000,action,volcano,5.4,1997
unknown,drama,richard iii,7.5,1995
5000000,horror,paranormal activity 3,5.8,2011
unknown,comedy,east is east,6.9,1999
55000000,adventure,3:10 to yuma,7.7,2007
unknown,thriller,the killing time,5.4,1987
50000000,horror,the ring two,5.4,2005
15000000,drama,fluke,6.7,1995
unknown,comedy,deadtime stories,4.6,1986
unknown,comedy,highway 61,7.2,1991
29000000,action,once upon a time in mexico,6.4,2003
unknown,action,into the sun,5.2,1992
unknown,comedy,nothing in common,5.9,1986
16500000,comedy,sydney white,6.3,2007
7900000,comedy,imagine me & you,6.8,2005
4000000,comedy,love stinks,5.8,1999
35000000,comedy,little black book,5.3,2004
17000000,fantasy,evil dead,6.5,2013
110000000,action,live free or die hard,7.2,2007
27000000,adventure,el libro de la selva,6.0,1994
80000000,drama,the legend of bagger vance,6.7,2000
50000000,animation,curious george,6.6,2006
16600000,adventure,kon-tiki,7.2,2012
unknown,drama,spellbinder,5.8,1988
80000000,comedy,just go with it,6.4,2011
40000000,drama,bridge of spies,7.6,2015
150000000,action,hancock,6.4,2008
unknown,action,ricochet,6.1,1991
unknown,drama,dead of winter,6.3,1987
175000000,action,waterworld,6.1,1995
60000000,action,15 minutes,6.1,2001
190000000,action,pacific rim,7.0,2013
70000000,drama,the phantom of the opera,7.3,2004
unknown,action,beverly hills ninja,5.5,1997
unknown,comedy,arthur 2: on the rocks,4.3,1988
20000000,comedy,mrs henderson presents,7.1,2005
unknown,comedy,celtic pride,5.2,1996
115000000,action,elysium,6.6,2013
116000000,action,dante's peak,5.9,1997
unknown,comedy,where the heart is,6.2,1990
unknown,comedy,dorm daze,4.6,2003
200000000,action,quantum of solace,6.6,2008
unknown,drama,some mother's son,7.3,1996
23600000,adventure,zombieland,7.7,2009
8000000,romance,brown sugar,6.5,2002
2000000,drama,lost river,5.8,2014
16000000,horror,sorority row,5.1,2009
12500000,drama,the in crowd,4.6,2000
4000000,drama,un verano para toda la vida,6.6,2007
7000000,crime,fargo,8.1,1996
50000000,action,run all night,6.6,2015
5000000,drama,luna amarga,7.2,1992
23000000,drama,mr. holland's opus,7.3,1995
10000000,drama,kit kittredge: an american girl,6.6,2008
7500000,biography,good night and good luck.,7.5,2005
unknown,drama,pelle the conqueror,7.9,1987
80000000,action,the expendables,6.5,2010
2000000,action,hit and run,6.1,2012
unknown,drama,state property,4.4,2002
6000000,drama,the bad batch,5.4,2016
50000000,crime,hannibal rising,6.2,2007
60000000,drama,the village,6.5,2004
24000000,comedy,old school,7.2,2003
40000000,biography,julie & julia,7.0,2009
unknown,crime,young adam,6.5,2003
55000000,action,ishtar,4.2,1987
unknown,action,eliminators,4.5,1986
100000000,biography,american gangster,7.8,2007
45000000,comedy,the rum diary,6.2,2011
22000000,crime,out of the furnace,6.8,2013
50000000,drama,unfaithful,6.7,2002
20000000,adventure,holes,7.1,2003
unknown,crime,breaking and entering,6.5,2006
unknown,drama,the clearing,5.9,2004
90000000,drama,meet joe black,7.1,1998
58000000,action,star trek: insurrection,6.4,1998
unknown,action,red cliff,7.4,2008
210000000,action,x-men iii: la batalla final,6.7,2006
9000000,action,boiling point,4.9,1993
17010000,comedy,pure luck,5.7,1991
unknown,drama,jane eyre,6.8,1996
6000000,adventure,lagaan: once upon a time in india,8.2,2001
55000000,drama,all the king's men,6.2,2006
52000000,comedy,the break-up,5.8,2006
unknown,drama,fish tank,7.3,2009
unknown,comedy,skin deep,6.1,1989
unknown,crime,the minus man,6.2,1999
8000000,comedy,mad dog time,5.5,1996
130000000,action,after earth,4.9,2013
68000000,drama,dreamcatcher,5.5,2003
29000000,action,the last boy scout,6.9,1991
unknown,comedy,daddy's dyin'... who's got the will?,5.8,1990
unknown,comedy,it runs in the family,5.6,2003
unknown,drama,a world apart,7.1,1988
5000000,comedy,moms' night out,5.4,2014
unknown,comedy,second sight,4.4,1989
unknown,biography,genius,6.5,2016
unknown,action,an innocent man,6.4,1989
12000000,horror,ghost in the machine,4.4,1993
100000000,action,hidalgo,6.7,2004
37000000,action,ghostbusters ii,6.5,1989
50000000,action,alien 3,6.4,1992
unknown,comedy,sibling rivalry,5.4,1990
unknown,comedy,about last night...,6.2,1986
unknown,comedy,atl,6.0,2006
unknown,comedy,love potion no. 9,5.6,1992
unknown,adventure,deadly illusion,4.7,1987
unknown,comedy,amélie,8.4,2001
unknown,drama,the wind that shakes the barley,7.5,2006
unknown,comedy,drinking buddies,6.1,2013
40000000,action,the in-laws,5.7,2003
8000000,action,the prophecy,6.6,1995
unknown,comedy,guzaarish,7.5,2010
unknown,comedy,walk like a man,4.6,1987
6000000,crime,drowning mona,5.6,2000
8000000,drama,i capture the castle,7.1,2003
45000000,action,johnny english reborn,6.3,2011
unknown,comedy,strictly business,5.4,1991
20000000,drama,premonition,5.9,2007
150000000,action,x-men origins: wolverine,6.7,2009
30000000,comedy,the five-year engagement,6.2,2012
111000,biography,henry: portrait of a serial killer,7.0,1986
55000000,adventure,garras,6.8,1996
unknown,crime,the handmaiden,8.1,2016
6000000,comedy,best in show,7.5,2000
